text,label
The product shall operate in offline mode whenever internet connection is unavailable.,FT
100% of saved user preferences shall be restored when system comes back online.,FT
The product shall be able support 1000 simultaneous users.,SC
The product shall be installed by an untrained realtor without recourse to separately-printed instructions.,US
90% of untrained realtors shall be able to install the product on their device without printed instructions,US
The product is expected to run on Windows CE and Palm operating systems.,PO
Only registered realtors shall be able to access the system.,SE
Every user of the system shall be authenticated and authorized.,SE
The product shall prevent its data from incorrect data being introduced.,SE
The system shall allow a real estate agent to query MLS information,F
The user shall be able to get driving directions to a selected property,F
The user shall be able to download appointments and contact information for clients,F
The system shall display clear property images in the search results,F
The system shall update or create new property listings in the MLS,F
Realtor shall be able to generate a CMA report based on property criteria,F
The system shall be able to call the seller or buyer to schedule an appointment,F
The realtor shall be notified of new client appointments after automatic synchronization with office system,F
The realtor shall be able to retrieve a map showing property locations for a specified area,F
The system shall notify the realtor when a seller or buyer responds to an appointment request,F
The product shall allow the user to save the property search results.,F
The system shall be easy to use by the Program Administrators/Nursing Staff Members.,US
All of the users shall be able to use the system after one day of training.,US
The system shall help the user avoid making mistakes while scheduling classes and clinicals for the nursing students.,US
The number of mistakes noted by the students shall be decreased by 50% in the first year.,US
The system shall be intuitive to the Program Administrators/Nursing Staff Members.,US
2 out of 3 Program Administrators/Nursing Staff Members shall successfully be able to use the system to manage the scheduling of classes and clinicals.,US
Staff members shall be able to complete a set of tasks in a timely manner.,PE
The response time of general student management tasks shall take no longer than 5 seconds and the response time of schedule generation shall take no longer than 30 seconds.,PE
The system shall be available for use between the hours of 8am and 6pm.,A
The system shall achieve 95% up time.,A
The system shall be capable of processing 100% of nursing students and their classes for the next 10 years.,SC
The system shall be expected to manage the nursing program curriculum and class/clinical scheduling for a minimum of 5 years.,SC
The system shall able to operate within a business office environment typical of the Nursing Department at DePaul University.,O
The system shall be used within the specifications defined by the computers used by the Program Administrators/Nursing Staff Members.,O
The system shall operate within the Windows XP Professional operating system.,O
The system shall interface with CampusConnect\92s central server,O
The system shall interface with the faculty central server.,O
The system shall interface with the student master server.,O
We must be able to interface with any HTML browser.,O
Only authorized users shall have access to clinical site information.,SE
Program Administrators/Nursing Staff Members are the only people who shall have access to clinical site details.,SE
Only authorized users shall have access to students\92 personal information.,SE
Dr Susan Poslusny and Dr Julie Donalek are the only people who shall have access to students\92 personal information.,SE
Only authorized users shall have access to the portion of the system that interfaces with CampusConnect.,SE
Fit Criterion: Dr Susan Poslusny and Karen Sysol are the only people who shall have access to the final class section scheduling for the system that interfaces with CampusConnect.,SE
The system shall have basic data integrity checking to reduce the possibility of incorrect or invalid data being introduced.,SE
The system shall protect private information in accordance with the organization\92s information policy.,SE
The system shall be built such that it is as secure as possible from malicious interference.,SE
The system shall use the organization\92s standard virus protection software to help monitor threats to itself.,SE
A cohort shall be associated to one Program of Study offered by the department.,F
Program Administrators and Nursing Staff Members shall be able to add a listing of students to a cohort.,F
Program Administrators and Nursing Staff Members shall be able to add a single student to a cohort,F
Students added to a cohort shall be eligible for the cohort\92s Program of Study.,F
Program Administrators and Nursing Staff Members shall be able to specify the preferred sequence of classes for a given cohort.,F
For each class within a sequence for a cohort Program Administrators and Nursing Staff Members shall be able to specify which quarter that class will be offered.,F
Program Administrators and Nursing Staff Members shall be able to add new classes to a sequence of classes,F
Program Administrators and Nursing Staff Members shall be able to add clinical classes or sections to a sequence of classes,F
Program Administrators and Nursing Staff Members shall be able to add a new cohort to the system identified by start month and year.,F
Program Administrators and Nursing Staff Members shall be able to add new classes for the nursing department into the system.,F
A class shall be either a non-clinical class or a clinical class.,F
A non-clinical class shall specify the course name lecture room requirements and instructor needs.,F
A clinical class shall specify the course name lecture room requirements clinical site needs lecture instructor needs and clinical lab instructor needs.,F
Program Administrators/Nursing Staff Members shall be able to create a new Program of Study.,F
A Program of Study shall consist of a program name and listing of required classes (both clinical and non-clinical) that must be completed.,F
Program Administrators and Nursing Staff Members shall have the ability to specify which classes are required for a Program of Study,F
The system shall be able to display a report of needed classes for a given quarter for all cohorts of all programs for Program Administrators/Nursing Staff Members\92 planning purposes.,F
The report of needed classes shall include (but not be limited to) classes to be offered number of sections needed number of labs needed and room types needed.,F
Classes for a given cohort shall not conflict with regards to the time and day that they are offered.,F
Program Administrators and Nursing Staff Members shall be able to add a new clinical site into the system.,F
Clinical site information shall include (but not be limited to) the name of the site contact person and contact information.,F
Program Administrators and Nursing Staff Members shall be able to add a new clinical lab section for an existing clinical class into the System.,F
A clinical lab section shall include the clinical site name the class instructor day and time of the lab.,F
Program Administrators and Nursing Staff Members shall be able to add a student who has registered for a clinical class to a clinical lab section for that class.,F
The system shall allow a Program Administrator or Nursing staff member to remove a student from a clinical lab section.,F
The system shall allow a Program Administrator/Nursing Staff Member to move a student from one clinical lab section to another clinical lab section corresponding to the same clinical class.,F
Program Administrators/Nursing Staff Members shall be able to cancel a clinical lab section only if there are no students registered for that clinical lab section.,F
A Program Administrator/Nursing Staff Member shall be able to add a new nursing student to the system.,F
A staff member shall have the ability to manage the progress of a part time student which includes modifying their sequence of classes and timeline of classes.,F
The system shall be able to display a printable summary for individual cohorts which will include the students enlisted the Program of study sequence of classes cohort progress through the program and timeline of completion.,F
The system shall be able to display a printable summary for individual clinical sites which will include information on labs being held at that site for the given quarter (Clinical site general information on labs held at that location dates and times of all labs held there).,F
The system shall be able to display a printable summary for individual clinical labs which will include (but not be limited to) class name class number lab section listing of students enrolled instructor day(s) time and location.,F
The system shall be able to display a printable summary for individual nursing students which will include (but not be limited to) student name student ID admission date classes credits GPA and the cohort that the student is enrolled in.,F
The system shall be able to display a printable summary of the system log.,F
The system shall contain contact information (e-mail and phone number) for all people relevant to the system including (but not limited to) staff members students lecture instructors clinical lab instructors and clinical site administrators.,F
The system will use the stored e-mail addresses as a primary means of communicating information to affected parties.,F
The system will notify affected parties for routine communication purposes including but not limited to informing students of upcoming offered classes (timeline) and what their schedule will be/shall be.,F
The system will notify affected parties when changes occur affecting clinicals including but not limited to clinical section capacity changes and clinical section cancellations.,F
The system will notify affected parties when changes occur affecting classes including but not limited to class cancellations class section detail changes and changes to class offerings for a given quarter.,F
The system will notify affected parties when changes occur affecting cohorts including but not limited to changes to the sequence for a cohort\92s program of study and changes to a given week\92s schedule (lab cancelled this week due to instructor illness).,F
The system will notify affected parties when changes occur affecting specific students including but not limited to changing a student\92s status from full time to part time and moving a student to a different clinical section.,F
Program Administrators/Nursing Staff Members shall have the ability to modify information relating to cohorts including cohort identifier program of study preferred sequence of classes and quarters that a cohort will be taking specific classes.,F
Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Program of Study within the Nursing Department including the Program of study name and required classes for that Program of Study.,F
Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Clinical Site including the clinical site name site contact person contact information and address.,F
Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Clinical Lab Section including the clinical site name the department/section for the lab the class instructor day and time of lab and contact information.,F
Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Nursing Student including student ID student name phone number e-mail status (full time or part time) and program of study.,F
The maximum wait time for a user navigating from one screen to another within the Disputes application shall be no more than 5 seconds.,PE
The Disputes application shall support 350 concurrent users without any degradation of performance in the application.,PE
The Disputes application shall be available 24x7x365 with the exception of the following scheduled maintenance windows. Monday \96 Saturday 3:00am to 4:00am EST Sunday 1:00amd to 5:00am EST,O
The Disputes application shall interface with the Statement Database. The Statement Database provides the transaction details to the Disputes System. All transaction details must be obtained from the Statement Database,O
The Disputes application shall interface with the Cardmember Information Database. The Cardmember Information Database provides detailed information with regard to a cardmember. All cardmember detail information must be obtained from the Cardmember Information Database.,O
The Disputes applications shall interface with the Merchant Information Database. The Merchant Information Database provides detailed information with regard to the merchant. All merchant detail information shall be obtained from the Merchant Information Database.,O
The Disputes application shall interface with the Letters application. This will allow the Disputes application to request letters as part of the dispute initiation and dispute follow up process. All letter requests must be sent to the Print Letter Utility application.,O
The Disputes application shall interface with the Cardmember Posting and Billing System. This will allow the Disputes application to request adjustments to cardmember and merchant\92s accounts. All adjustment requests must be sent to the Cardmember Posting and Billing System.,O
The Disputes application shall ensure that only users with the appropriate access level are allowed to initiate dispute requests.,SE
Only users with Update access must be able to initiate dispute requests.,SE
The Disputes application shall ensure that only authorized users are allowed to logon to the application.,SE
All authorized users once authenticated must be able to logon to the Disputes System,SE
The Disputes System shall generate a User Report that details any new users that have been added and any changes to an existing user\92s access level. The report will be reviewed for auditing purposes.,SE
All additions of new users and modifications to user\92s access shall be recorded on the User Report.,SE
If a user account is revoked it can only be re-instantiated by the System Administrator.,SE
Only the System Administrator shall be able to reset a revoked user logon account,SE
The Disputes application shall manipulate and view business data. Users will not have direct access to data files or databases.,SE
All updates to data files or database must be initiated from the Disputes System.,SE
The Disputes application must conform to the legal requirements as specified by the Merchant Operating Regulations.,L
All business rules specified in the Disputes System shall be in compliance with the Merchant Operating Regulations.,L
The Disputes application must conform to the legal requirements as specified by Regulation E and Regulation Z that govern credit card disputes processing.,L
All business rules specified in the Disputes System shall be in compliance to the guidelines of Regulation E and Regulation Z.,L
The Disputes application must maintain a detailed history of every action that a user takes on a dispute case. This ensures a complete audit trail if questions arise later on with regard to a particular dispute case.,L
All actions that modify an existing dispute case must be recorded in the case history.,L
The Disputes System must allow the users to select disputable transactions (based on the age of the transaction) from a user interface and initiate a dispute (ticket retrieval request or chargeback notification) on the selected transaction.,F
The Disputes System must provide the user the ability to initiate a single dispute case on multiple transactions that belong to a single merchant.,F
The Disputes System will provide the user the ability to create or initiate a ticket retrieval request. As part of ticket retrieval creation process the system must prompt the user to enter all the required information to create the ticket retrieval request. The ticket retrieval request is a document that is sent to merchant inquiring the validity of a transaction.,F
The Disputes System must allow the user to create three unique types of ticket retrieval requests. The three types of ticket retrieval requests are (1) Request for original receipt (2) Request for a copy of the receipt or (3) Request for a portfolio. A portfolio consists of documentation that would provide proof of a purchase such as the documentation that is received from a car rental agency that is more than a sales receipt.,F
The Disputes System must prevent external users from requesting original receipts. Requests for original receipts are restricted to internal users.,F
The Disputes System must provide a confirmation to the user upon the creation of ticket retrieval request that contains the following information; the dispute case number the type of retrieval requested (copy original or portfolio) and the date that the merchant response is due.,F
The Disputes System shall allow the user to create or initiate a chargeback request. The system must prompt the user to enter the required information to initiate a chargeback request. The chargeback request results in a printed chargeback notification that is sent to merchant indicating that their account will be charged back if no proof is provided that the disputed transaction is valid.,F
The Disputes System must provide a confirmation to the user upon the creation of a chargeback request. The confirmation must contain the following information; the dispute case number the type of chargeback requested (pending or immediate) and the date that the merchant response is due.,F
The Disputes System must provide the ability to view existing dispute cases.,F
The Disputes System must provide Search functionality. The search method must include the ability to search by (1) the dispute case number (2) the merchant account number (3) the cardmember account number and (4) the issuer number. In addition to the above criteria the search functionality must further allow the user to limit the results of the search by a date range the type of dispute (ticket retrieval request or chargeback notification) the case status (open closed or all) and the dispute reason code.,F
The Disputes System shall provide the users the ability to view the history of all activities that have occurred on the dispute case.,F
The Dispute System shall provide the users with the ability to follow up on a dispute case via follow-up actions. The list of available follow up actions for a given dispute case must be filtered by the status of the case and the access level of the user.,F
The Disputes System shall record the name of the user and the date for any activity that creates or modifies the disputes case in the system. A detailed history of the actions taken on the case including the date and the user that performed the action must be maintained for auditing purposes.,F
For any systematic (non-user initiated) action that occurs on a case such as the disputes aging process a case activity will be generated. Upon the next logon the user that initiated the dispute case must be notified that a systematic action has occurred on the dispute case.,F
Any disputes cases that have been closed for over 6 months must be purged from the online disputes database.,F
The product shall interface with the Choice Parts System. This provides the feed of recycled parts data.,O
The appearance of the product shall appear professional,LF
The product shall be easy to use by Adjusters and Collision Estimators. 95% of Adjusters and Collision Estimators shall find the product easy to use.,US
The product shall increase productivity of Collision Estimators. 80% of the Collision Estimators shall agree their productivity has increase within 1 month of using the product.,US
Users shall feel satisfied using the product. 85% of all users will be satisfied with the product.,US
The product shall be easy to learn by Adjusters and Collision Estimators. The product shall be learned with two days onsite training,US
The search for recycled parts shall take no longer than 15 seconds. The search results shall be returned in under 15 seconds.,PE
The search for the preferred repair facility shall take no longer than 8 seconds. The preferred repair facility is returned within 8 seconds,PE
The recycled parts audit report shall be returned to the user within 10 seconds. The audit report shall be returned within 10 seconds.,PE
The preferred repair facility ratings shall be saved within 5 seconds. The save shall occur within 5 seconds.,PE
The product shall adhere to the corporate online availability schedule. The application is brought down only within 98% of the scheduled outages per the availability schedule.,A
The product shall achieve a 98% uptime. The product shall not fail more than 2% of the available online time.,A
The product shall be able to handle up to 1500 simultaneous users. The system shall perform with 1500 users as a time.,SC
The average number of recycled parts records per day shall be 50 000.,SC
The product shall be able to handle 10 000 concurrent users within 2 years of the initial launch.,SC
For estimators the product shall be able to be operated in a repair facility during dirty and noisy conditions.,O
The product shall interface with the ChoiceParts system once per day at approximately 1:00 AM.,O
The product shall be supported using the corporate support center.,O
Only adjusters can request recycled parts audit reports. No users without an adjuster role shall request recycled parts audits.,SE
Only adjusters with a supervisor role can update preferred repair facility ratings. Users without the supervisor role cannot access the repair facility ratings.,SE
Only collision estimators shall search for recycled parts. Users without the collision estimator role shall not have access to the search for recycled parts.,SE
Only valid data shall be entered into the system. No invalid data shall be entered into the system.,SE
One insurance company shall not be able to view another insurance companys claim data.,SE
The product shall free of computer viruses.,SE
The system shall prevent malicious attacks including denial of service.,SE
The product must comply with Sarbanes-Oxley.,L
The product shall comply with the estimatics laws relating to recycled parts usage.,L
The product shall comply with insurance regulations regarding claims processing.,L
The user shall search for the preferred repair facility using vehicle vehicle location and radius in miles,F
The vehicle data shall include vehicle year make and model,F
The vehicle location shall include street address city state and zipcode,F
The system shall resolve the zipcode for the street address city and state if zipcode is unknown.,F
The search radius shall be between 1 and 30 miles,F
The system shall locate the preferred repair facility with the highest ratings for the input criteria,F
The adjuster shall enter the preferred repair facility on the estimate assignment.,F
The adjuster shall be able to override the preferred repair facitlity on the estimate assignment.,F
The preferred repair facility shall be returned to the user.,F
The system shall return a list of repair facilities within the radius if the preferred repair facility cannot be determined.,F
The estimator shall search for available recycled parts using damaged vehicle parts information.,F
The estimator shall search for available recycled parts using a list of preferred parts suppliers.,F
The system shall search for available recycled parts for the supplied vehicle parts and suppliers.,F
The estimator shall search by zipcode with a radius of 30 miles if no parts are found for the preferred parts suppliers,F
The system shall retain the available recycled parts and suppliers returned from the search.,F
The available recycled parts information and their suppliers shall be returned to the user.,F
The estimator shall apply selected recycled parts to the collision estimate.,F
The estimator shall not apply recycled parts to the collision estimate if no available parts are returned.,F
The adjuster shall review the collision estimate.,F
The adjuster shall request a recycled parts audit of the collision estimate.,F
The recycled parts search results provided to the estimator shall be retrieved by the system.,F
The system shall generate an audit report based on the available recycled parts and the collision estimate.,F
The audit report shall include the total number of recycled parts used in the estimate.,F
The audit report shall include the number of available recycled parts from the original search results.,F
The audit report shall include the percentage of available recycled parts used in the estimate,F
The audit report shall include the total score of the audit which sums the indivual line items.,F
The audit report shall be displayed to the user.,F
The audit report shall be available to other adjusters at later points in time.,F
The user shall select to view the preferred repair facility ratings.,F
The current repair facility ratings shall be displayed to the user.,F
The system will display a blank set of ratings if there are not ratings yet defined.,F
The user shall enter new ratings based on the audit report,F
The ratings shall be from a scale of 1-10,F
The ratings shall include categories for attempted use of recycled parts and actual use of recycled parts,F
The user shall select to save the preferred repair facility ratings.,F
The preferred repair facility ratings shall be saved by the system.,F
The product must work with most database management systems (DBMS) on the market whether the DBMS is colocated with the product on the same machine or is located on a different machine on the computer network.,O
The product will require collaboration with a database management system (DBMS). The DBMS may be located on the same machine as the product or on a separate machine residing on the same computer network.,O
The product must make use of web/application server technology. Open source examples include Apache web server Tomcat and the JBoss application server.,O
A database management system such as Oracle DB2 MySql or HSQL will need to be integrated with the product.,O
The product\92s Look and Feel shall be able to incorporate aspects of the customer\92s organization such as logo branding and identity,LF
The product shall have a conservative and professional appearance.,LF
The product shall make the users want to use it. 80% of the users surveyed report they are regularly using the product after the first 2 weeks post-launch.,US
The product shall be easy to use. 90% of users will be able to successfully reserve a conference room within 5 minutes of product use.,US
The product shall allow the user to select a chosen language from one of the target market countries.,US
The product shall allow for customization of start page and views preferences.,US
An employee will be able to successfully use the product within a few minutes. After informally navigating the product for less than 15 minutes users shall be able to successfully setup meetings and reserve conference rooms.,US
The product shall use a standard navigation menu familiar to most web users.,US
The product shall allow for intuitive searching of available conference rooms.,US
The response shall be fast enough to avoid interrupting the user\92s flow of thought. 90% of tasks shall complete within 5 seconds. 98% of tasks shall complete within 8 seconds.,PE
Aside from server failure the software product shall achieve 99.99% up time.,A
The product shall be capable of handling up to 1 000 concurrent requests. This number will increase to 2 000 by Release 2. The concurrency capacity must be able to handle peak scheduling times such as early morning and late afternoon hours.,SC
The product shall be able to process 10 000 transactions per hour within two years of its launch. This number will increase to 20 000 by Release 2.,SC
The product shall be used in office environments.,O
The product must be able to interface with various email servers. The product shall be able to send email.,O
The product shall be available for distribution via the Internet as a binary or ZIP file.,O
The product shall be available for distribution as a packaged CD.,O
The product will be available for licensing as a one-server two-five servers or five-or-more servers license.,O
The product must be designed using Design Patterns and coding best practices. 90% of maintenance software developers are able to integrate new functionality into the product with 2 working days.,MN
The product must be highly configurable for use with various database management systems for the end users. 80% of end users are able to integrate new database management systems with the product without changing the product\92s software code.,MN
Maintenance releases will be offered to customers once a year. The releases shall take no longer than 5 minutes for 80% of the customer base to install.,MN
Every registered user will have access to the product\92s support site via the Internet. 70% of registered users shall find a solution to their problem within 5 minutes of using the support site.,US
The customer shall be able to easily integrate new building maps with the product throughout the product\92s lifecycle. Integration of new maps with the product shall be possible with little to no support from product support staff.,MN
The product shall be translated into foreign languages other than the target market countries\92 languages in future releases. For each emerging target market it shall take no more than 5 days to configure the product for that market\92s language.,US
The product is expected to integrate with multiple database management systems. The product will operate with Oracle SQL Server DB2 MySQL HSQL and MS Access.,O
The product shall be able to be installed in any operating environment within 2 days.,O
The product shall ensure that only company employees or external users with company-approved user IDs may have product access. 100% of all logons shall be by either company employees or external users with company-approved user IDs.,SE
Only managers are able to perform search queries for reservations by user. 100% of all search queries for reservations by user shall be from logons of only management logons.,SE
The product shall ensure that the database\92s data corresponds to the data entered by the user. Each conference room reservation in the system will contain the same information as was entered by the user.,SE
The product shall prevent the input of malicious data. The product and/or adjacent hardware/software systems\92 data shall remain 100% uncorrupted each time malicious data is input into the product.,SE
The language of the product shall accommodate all of the target market countries. 90% of survey respondents from each target market country will find that the language of the product is acceptable.,SC
The product shall be able to display calendar dates and times according to the user\92s locale. 90% of survey respondents from each target market country will find that the date and time formatting of the product is correct.,US
The product must be developed with the J2SE/J2EE programming language libraries,O
The product shall record meeting entries.,F
The product will notify employees of meeting invitations.,F
The product shall have the ability to send meeting reminders to employees.,F
The product shall assign the organizers contact information to each meeting they create.,F
The product will record meeting acknowledgements.,F
The product shall store new conference rooms.,F
The product shall update existing conference rooms.,F
The product will be able to delete conference rooms.,F
The product shall be able to store new room equipment.,F
The product will update existing room equipment.,F
The product shall be able to delete room equipment.,F
The product shall allow an organizer to invite other employees to meetings.,F
Each time a conference room is reserved the conference room schedule shall be updated to reflect the time and date of the reservation.,F
The product shall record the transportation status of equipment reserved.,F
The product shall display a map of the company building showing conference room locations.,F
The product shall record updated meeting agendas.,F
The product shall send a meeting confirmation to the meeting organizer.,F
The product shall display room equipment according to search parameters.,F
The product shall display conference rooms according to search parameters.,F
The product shall record different meeting types.,F
The product shall record all the equipment that has been reserved.,F
The product shall notify building personnel of equipment transport requests.,F
The product will allow priviledged users to view meeting schedules in multiple reporting views.,F
The product shall be able to send meeting notifications via different kinds of end-user specified methods.,F
The product will display an available status for unreserved conference rooms.,F
Recreation of Inventory Quantity Adjustment for the period of previous 30 days shall take no more than 30min.,PE
