text,label,source
A single currency cannot occupy more than one slot. The CEP card must not permit a slot to be assigned a currency if another slot in the CEP card has already been assigned to that currency,FR,dcai24
The audit report shall include the total number of recycled parts used in the estimate.,FR,promise_exp
All users should be able to search by keyword or product ID.,FR,dcai24
The product shall be easy to use by Adjusters and Collision Estimators.  95% of Adjusters and Collision Estimators shall find the product easy to use.,US,promise_exp
When a shot is marked as a hit  the product shall simulate the sound of a shot hitting its target.,LF,promise_exp
Once a game is initiated  the product shall allow each player to position their 5 ships on their respective defensive grids.,FR,promise_exp
The product shall synchronize contacts and appointments in an acceptable time.,PE,promise_exp
'Velkat staff will be available for phone support between 7am-7pm M-F to provide technical support to the Izogn administrators.',A,NICE
The Disputes System must allow the users to select disputable transactions (based on the age of the transaction) from a user interface and initiate a dispute (ticket retrieval request or chargeback notification) on the selected transaction.,FR,promise_exp
The system will use the stored e-mail addresses as a primary means of communicating information to affected parties.,FR,promise_exp
The application maintainer can modify the appearance of the separate launchers.,FR,dcai24
The back-end systems (multiple back-end systems may exist for a single card) which communicate with the cards perform the verifications and manage the off-card key databases also shall be trusted.,SE,dcai24
The system should keep the customer email.,FR,promise_exp
'The Disputes System must prevent external users from requesting original receipts. Requests for original receipts are restricted to internal users.',FR,NICE
'The verbiage used within the system shall be consistent with Standard English and the terminology of the national Nursing Community.',LF,NICE
The system shall allow the mediator to negotiate a meeting date.,FR,promise_exp
The washing process must use a non binding  neutral data format  such as xml  when receiving and processing lead data.,O,promise_exp
'The search results shall be returned no later 30 seconds after the user has entered the search criteria',PE,NICE
The product must be highly configurable for use with various database management systems for the end users. 80% of end users are able to integrate new database management systems with the product without changing the product s software code.,MN,dcai24
The product shall store new conference rooms.,FR,promise_exp
The product shall maintain the status of each player for a turn either offensive or defensive.,FR,dcai24
"3) The system shall provide EHR-S security administrators with the ability to grant authorizations to principals according to scope of practice, organizational policy, or jurisdictional law.",SE,dcai24
The product shall display the grids within a circle as a view from a periscope.,LF,promise_exp
'The server will support a maximum of 1 000 simultaneous users.',SC,NICE
The application should be connected to the Internet.,A,promise_exp
A list of available patients is displayed after login.,FR,promise_exp
"In this case, if the user no longer wishes to sell/exchange the item, he/she can remove the item from the system by touching Ã¢â‚¬Å“Remove the itemÃ¢â‚¬Â_x009d_ button.",FR,dcai24
"Data items transferred might need to be encrypted to prevent both malicious and false opera- tion, as well as eavesdropping.",SE,dcai24
"As outlined in Privacy Requirement 5, organisations connecting to the EHRi and organisations hosting components of the EHRi should limit collection of PHI to that which is necessary for the identified purposes.",SE,dcai24
'The product shall be able to process all transactions.The product shall process minimum of 1 million transactions per year.',PE,NICE
The product shall allow the user to select a chosen language from one of the target market countries.,US,promise_exp
The entire website must be user-friendly and easily navigable. The website must be provided with a site map for quick access to a particular link according to the requirement specification. The user must be able to find what he/she wants from the site without any difficulty. The website must adhere to branding schemes and the layout of the web pages must be uniform throughout  ,US,promise_exp
The adjuster shall enter the preferred repair facility on the estimate assignment.,FR,promise_exp
The WCS system shall use appropriate nomenclature and terminology as defined by the Corporate Community Grants organization. All interfaces and reports will undergo usability tests by CCR users.,US,promise_exp
The feature of the application shall provide the optimized route for the given addresses,FR,dcai24
On a 112k connection or faster  the system response time for all operations must be no more than 3 seconds 90% of the time.,PE,promise_exp
'The product shall store new conference rooms.',FR,NICE
'A customer can only stream a movie if they purchased it and are within the 2 day viewing period.',L,NICE
The system shall provide only limited feedback information to the user during the authentication.,SE,dcai24
It is a card issuerƒ??s decision to determine the currencies that are allowed to occupy slots in the CEP card. This decision is made by the card issuer during the load or currency exchange transaction by approving or rejecting the request to authorize the transaction,FR,dcai24
Editing information Given the restaurant owner is logged in And information exists When the restaurant owner edits information Then the information should be edited,FR,dcai24
Non repudiation guarantees that the source of the data record can not later deny that it is the source; that the sender or receiver of a message cannot later deny having sent or received the message.,SE,dcai24
The system shall not leave any cookies on the customer's computer containing any of the user's confidential information.,SE,promise_exp
Customer must logout of the site after purchasing products.,FR,promise_exp
A search described in requirement UCAR602 results in a displayed set of topics.,FR,dcai24
The Operational Interface shall have a Mean Time Between Failures of no less than 7 days.,FT,promise_exp
All source code shall adhere to an agreed upon and well-defined set of coding standards for each development language used.,MN,promise_exp
The system shall allow the mediator to solve a location conflict.,FR,promise_exp
This unit will receive the output sentence from the Generic Question Construction unit as input (R4.2.1.3).,FR,dcai24
Be the entity that maintains control over the flow of a transaction ensuring that all security is enforced,SE,dcai24
For each shot  the product shall mark the shot as a hit or miss on the defensive grid of the defensive player.,FR,promise_exp
Nobody except the specific user should be able to log into that account and change personal information.,SE,dcai24
'The lead washing process will operate within the established physical web service structure.',O,NICE
Control the database and keep track of all records of customers and employee details.,FR,promise_exp
The system shall allow the user to modify the date preference set of an already submitted meeting response.,FR,promise_exp
The leads washing functionality will have an interface in which lead data parameters can be maintained.,FR,promise_exp
'Each page shall contain a similar format with action items in one location and navigation buttons in a different location.',LF,NICE
The product shall use symbols and words that are naturally understandable by users familiar with websites,US,promise_exp
'The product shall create an exception log of problems encountered within the product for transmission to our company for analysis and resolution.',MN,NICE
A clinical lab section shall include the clinical site name the class instructor day and time of the lab.,FR,dcai24
The objectives of information asset management is to achieve and maintain appropriate protection of organisational assets.,SE,dcai24
In case of huge amount of traffic in upstream or downstream directions a congestion management mechanism shall be implemented in the CNG to minimize the impact from the user experience point of view.,PE,dcai24
The product shall be easy to use by Adjusters and Collision Estimators. 95% of Adjusters and Collision Estimators shall find the product easy to use.,US,dcai24
The system shall display Events or Activities.,FR,promise_exp
"In addition to meeting these legal requirements, healthcare organisations should also seek to meet high ethical and moral standards for information consent, which is vital to the protection of privacy as an aspect of human dignity and the protection of human rights.",SE,dcai24
NPAC SMS shall provide a complementary mechanism or procedure for the reâ€‘instatement disabled userids.,SE,dcai24
'The application shall run on a web application server.',O,NICE
'The user shall search for the preferred repair facility using vehicle vehicle location and radius in miles',FR,NICE
Direct access to the data stored in the database is only allowed for Administrator(s) using the CLI.,SE,dcai24
The systemâ€™s back-end servers shall only be accessible to authenticated administrators.,SE,dcai24
The system should be easy enough to maintain that someone else could do it with a manual and a few hours training.,MN,promise_exp
All registered customer information shall be stored and maintained in the database  even after the customer cancels their account.,FR,promise_exp
The website should have an African feel  but should not alienate non-Africans.  The website should use animation on pages which are describing the services  to grab the users attention and encourage them to sign up.,LF,promise_exp
The response shall be fast enough to avoid interrupting the user\92s flow of thought. 90% of tasks shall complete within 5 seconds. 98% of tasks shall complete within 8 seconds.,PE,dcai24
The card issuer must establish its policies for assigning and adjusting slot maximum balances. These policies may require the card issuer to maintain a card database,MN,dcai24
The product shall continue to operate during upgrade  change or new resource addition.The product shall be able to continue to operate with no interruption in service due to new resource additions.,MN,promise_exp
STB or media gateways should be equipped with a programmable open API allowing the implementation of specific service logics.,MN,dcai24
The Disputes System must provide a confirmation to the user upon the creation of ticket retrieval request that contains the following information; the dispute case number  the type of retrieval requested (copy  original or portfolio)  and the date that the merchant response is due.,FR,promise_exp
'Users should be able to access their streaming movies in under 2 clicks after logging into the website.',LF,NICE
'System shall let administrator de-activate a customer account in under 1 minute. Customer will no longer be able to access the website.',PE,NICE
For each shot the product shall mark the shot as a hit or miss on the offensive grid of the offensive player.,FR,dcai24
Responsible for properly allocating the selected product according to the customer's choice and delivering product to the customer.,FR,promise_exp
Users shall be able to reach the \91add\92 \91drop\92 and \91trade player\92 pages with one click from the team owner\92s page.,US,dcai24
'The maximum wait time for a user navigating from one screen to another within the Disputes application shall be no more than 5 seconds.',PE,NICE
'The website shall continue to operate if the payment gateway goes down.',A,NICE
On a 112k connection or faster the system response time for all operations must be no more than 3 seconds 90% of the time.',A,NICE
'The system shall be expected to manage the nursing program curriculum and class/clinical scheduling for a minimum of 5 years.',SC,NICE
The system shall allow user to decorate their doughnut.,FR,promise_exp
'The website shall be available for use 24 hours per day 365 days per year.',A,NICE
A new user shall be able to navigate through the league and team pages within 30 seconds of reaching the start-up page.,US,promise_exp
The system could provide the ability to extract data for quality analysis purposes to authenticated users only.,SE,dcai24
The Disputes System shall provide update access capability for authorized users of the application.,FR,promise_exp
The product must make use of web/application server technology.  Open source examples include Apache web server  Tomcat  and the JBoss application server.,O,promise_exp
"All organisations hosting components of the EHRi or connecting to the EHRi must implement appropriate detection and prevention controls and appropriate user awareness procedures to protect against malicious software (viruses, worms, etc.)",SE,dcai24
Mobile application - No match found DESC: If no match is found the user should be informed but kept on the search page in order to get the possibility to conduct a new search right away.,FR,dcai24
'All aspects of the website shall be accessed by a web browser over the Internet.',O,NICE
Velkat staff will be available for phone support between 7am-7pm M-F to provide technical support to the Izogn administrators.,A,dcai24
The Disputes application shall be available 24x7x365 with the exception of the following scheduled maintenance windows. Monday Saturday 3,O,dcai24
The interface shall be appealing to callers and supervisors. In the interface and usability survey  80% of beta testers must report that the interface is appealing.,LF,promise_exp
'The product shall be easy for a realtor to learn.',US,NICE
'System shall let administrator add/remove movies on the website in under 5 minutes. Entered movie information will be stored in the database and will now be available on the website.',PE,NICE
The system shall be responsive. At the DePaul TeleServices Center when a supervisor uses the system to view a callers schedule the system response time must be no more than 2 seconds 90% of the time and no more than 5 seconds the rest of the time.,PE,dcai24
Flexibility is required to accommodate the variety of environments where unlinked loads may be implemented. As a result the design specification must not preclude dual-leg transactions** from taking place either sequentially or in parallel. The design of a given implementation will vary depending on the device host and network capabilities,PO,dcai24
Users should be able to access their streaming movies in under 2 clicks after logging into the website.,US,promise_exp
"NPAC SMS shall ensure that the message is NPAC SMSâ€‘specifiable to meet their own requirements, and any applicable laws.",SE,dcai24
The product shall create an exception log of problems encountered within the product for transmission to our company for analysis and resolution.,FT,promise_exp
The system shall be able to display a report of needed classes for a given quarter for all cohorts of all programs for Program Administrators/Nursing Staff Members\92 planning purposes.,FR,promise_exp
System shall let customers register on the website as a pay as you go user in under 5 minutes.,PE,dcai24
The system shall allow users to search for available distributed location templates(if any).,FR,dcai24
When a game is ended the product shall allow each player to identify himself or herself as an available player in the list of players.,FR,dcai24
'Each page shall contain a navigation menu which shows the index into which the current page is contained.',LF,NICE
The system shall provide handicap access.,US,promise_exp
'All screens created as part of the Disputes application must comply with corporate standards for interface creation.',L,NICE
'The system shall be able to display a printable summary for individual cohorts which will include the students enlisted the Program of study sequence of classes cohort progress through the program and timeline of completion.',FR,NICE
If the shot was marked as a miss the product shall change the status of the offensive player to defensive,FR,dcai24
'The product shall provide GUI based Monitoring Services.System Administrators shall monitor message exchanges will predict and determine problems and will also provide internal and external support.',MN,NICE
System shall let customers cancel their account  process shall take no longer than 2 minutes.  Database will mark the account as inactive  and user will not be able to log into the website.,PE,promise_exp
It must allow a user to login.,FR,promise_exp
'Daily usage statistics should be logged and accessible by the administrator.',MN,NICE
"Upon successful login, the user can select from the following catalogue options: Spring 2013 ,Winter 2013",FR,dcai24
The system shall provide a history report of changes made to the Activity or Event data,FR,promise_exp
'The realtor shall be able to retrieve a map showing property locations for a specified area',FR,NICE
"The administrator can link a POI to a certain building, floor and room.",FR,dcai24
'The system shall have a professional appearance',LF,NICE
The count and amount of the transactions in the batch must be protected by the S4 MAC This information is not part of the card issuerƒ??s verification process,SE,dcai24
'The product shall have a customizable Look and Feel.',LF,NICE
Washing parameters will be updated during scheduled maintenance hours.,MN,promise_exp
"user is able browse items. User can see the itemsâ€™ pictures, prices, and other
 features.",FR,dcai24
The system shall enable user to select multiple options on the screen to search.,FR,promise_exp
The user shall select to view the preferred repair facility ratings.,FR,promise_exp
'The system shall be able to display a printable summary for individual clinical labs which will include (but not be limited to) class name class number lab section listing of students enrolled instructor day(s) time and location.',FR,NICE
The owner is then able to set up subsidiary users such as the master of the vessel with their own username and password.,SE,dcai24
The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.,A,promise_exp
'The response time of general student management tasks shall take no longer than 5 seconds and the response time of schedule generation shall take no longer than 30 seconds.',PE,NICE
'The product shall be used in office environments.',O,NICE
The product should be able to be used by 90% of novice users on the Internet.,US,promise_exp
The product shall take initial load time depending on internet connection strength which also depends on the media from which the product is run.,PE,promise_exp
'The product shall be expected to operate for at least 5 years for each customer installation.',O,NICE
The timing of payment to the merchant must be established between the merchant and the merchant acquirer,O,dcai24
The load acquirer needs to ensure that the issuer is the true owner of the card and in the case of an apparent failure of the load the load acquirer needs the card presented to authenticate the failure,SE,dcai24
'The product shall synchronize with the office system every hour.',PE,NICE
"user is able to browse the profiles other users. User can see the other usersâ€™
 user names, profile photos, and the usersâ€™ items.",FR,dcai24
'The product shall conform to the Americans with Disabilities Act.',L,NICE
'The product shall allow the user to select a chosen language from one of the target market countries.',US,NICE
'Program Administrators and Nursing Staff Members shall be able to add clinical classes or sections to a sequence of classes',FR,NICE
When streaming a movie the buffering time should take no longer than 10 seconds (plus any latency on the user's connection.)',PE,NICE
The entire website must be user-friendly and easily navigable. The website must be provided with a site map for quick access to a particular link according to the requirement specification. The user must be able to find what he/she wants from the site without any difficulty. The website must adhere to branding schemes and the layout of the web pages must be uniform throughout ,US,dcai24
The system shall be used by realtors with no training.,US,promise_exp
System shall let Izogn Manager access sales and usage statistics in under 2 minutes.,PE,promise_exp
'The system shall be easy to use by the Program Administrators/Nursing Staff Members.',US,NICE
The response shall be fast enough to avoid interrupting the user s flow of thought. 90% of tasks shall complete within 5 seconds. 98% of tasks shall complete within 8 seconds.,PE,dcai24
When streaming a movie  the buffering time should take no longer than 10 seconds (plus any latency on the user\92s connection.),PE,promise_exp
'The Disputes System will facilitate direct data entry of a dispute case via a user interface that supports real time responses to the users.',PE,NICE
Rationale: Perimeter security of servers and other aspects of application hosting is a minimum requirement for ensuring the availability and integrity of these important applications and data and for ensuring the confidentiality of information in storage that is not already secured cryptographically.,SE,dcai24
'The system shall prevent malicious attacks including denial of service.',SE,NICE
POS systems must support the unique identification of users.,SE,dcai24
The system could provide the ability to update access privilege rules.,SE,dcai24
The product shall prevent the player from overlapping ships on their grid.,FR,promise_exp
The product interface should be fast. The response time of the product interface should not exceed 2 seconds 90% of the time. For 10% of the time the response time should not be more than 10 seconds.not be more than 10 seconds.,PE,dcai24
"The online registration system is ""self-service style"" system that shall initially address the student registration needs.",FR,promise_exp
On receipt of a valid (i.e. authorized) request for data stored in the CNG the CNG shall return the requested data to the requesting user.,SE,dcai24
'All movies shall be streamed on demand at any time of the day.',A,NICE
The website shall achieve 99.5% up time.,A,promise_exp
"NLM Staff Maintenance Access: Provides a restricted NLM Staff Level, allowing specific NLM staff to work with the data itself: adding new files, checking the quality of digital files, manipulating images, editing technical (i.e. preservation) metadata, performing format conversions and migrations (e.g., from tiff to pdf, tiff to jpeg2000, etc.), and investigating problems with the system.",SE,dcai24
The website design should be modern  clean  and concise.,LF,promise_exp
The product will be available for licensing as a one-server  two-five servers  or five-or-more servers license.,O,promise_exp
The system shall authenticate user credentials to view the profile.,FR,promise_exp
The Disputes System shall provide view access capability for authorized users of the application.,FR,promise_exp
'When the offensive player takes a shot the product shall simulate the sound of a ship at sea.',LF,NICE
The system shall be able to display a menu at all times to facilitate manual order taking should the need arise.,LF,promise_exp
The product shall be able to process 10 000 transactions per hour within two years of its launch.  This number will increase to 20 000 by Release 2.,SC,promise_exp
The user can change the calender to a different month.,FR,dcai24
98% of the user workstations shall meet the minimum hardware requirements prior to implementation. Minimum Hard Disk Space,O,dcai24
The system should require the user to state time when should the doughnut be delivered.,FR,promise_exp
For leads that process longer than 25 seconds the system will record the event and duration,PE,promise_exp
The PHP code will comply with PEAR standards.,L,promise_exp
iii) accepted by the organisation.,SE,dcai24
The product shall operate in offline mode whenever internet connection is unavailable.,FT,promise_exp
A search described in requirements UCAR406 and UCAR407 results in a displayed set of events that match the search input.,FR,dcai24
'The website shall continue to operate if the streaming server goes down.',A,NICE
"To construct an authoritative transcript of which users have accessed a patient or personï¿½s PHI or what PHI a user has accessed, all audit records will need to be accessible and hence audit requirements meeting the strictest existing jurisdictional legal requirements are essential to support full interoperability across jurisdictions.",SE,dcai24
The system shall achieve 95% up time.,A,promise_exp
The system shall be able to issue a specific amount of money to the user.,FR,promise_exp
'Total lead cycle time must be completed in 5 minutes for 90% of lead volume between the business hours of 8AM CST to 8PM CST; then 3 minutes for 99% of lead volume during off business hours.',A,NICE
System shall let administrator de-activate a customer account in under 1 minute. Customer will no longer be able to access the website.,PE,promise_exp
'The system shall allow a Program Administrator or Nursing staff member to remove a student from a clinical lab section.',FR,NICE
The product will record meeting acknowledgements.,FR,promise_exp
The user shall easily locate instructions while using the product.  User help can be found within 90% of the system.,US,promise_exp
'The system shall able to operate within a business office environment typical of the Nursing Department at DePaul University.',O,NICE
The originator of the list of keys shall also provide the receiver with signed (in ink) paper copy of the MD5 hashes of the keys in the list.,SE,dcai24
The from-location can be searched by the name of a POI.,FR,dcai24
'The product shall interface with the Choice Parts System. This provides the feed of recycled parts data.',O,NICE
The customer shall be able to easily integrate new building maps with the product throughout the product\92s lifecycle.  Integration of new maps with the product shall be possible with little to no support from product support staff.,MN,promise_exp
The product shall run on the existing hardware for all environments.,O,promise_exp
The Disputes application must maintain a detailed history of every action that a user takes on a dispute case.  This ensures a complete audit trail if questions arise later on with regard to a particular dispute case.,L,promise_exp
The system will support mobile users in some way.,PO,promise_exp
The product shall poll the system for messages every second.The product shall poll the system for new messages at a maximum of every 1 second.,PE,promise_exp
STEWARDS will use the user classes described in section 2.3 above to define boundaries of information sharing to ensure confidentiality as appropriate.,SE,dcai24
CNG shall be equipped with an application client to be remotely manageable by the service providers for configuration monitoring firmware upgrade purposes. In case of multiple service providers multiple clients configuring different sets of parameters (for example referring to different services) may be present. A single parameter can be modified by a single client only.,FR,dcai24
The system shall be compatible with IIS6.0 and above or Apache 2.0 and above.,PO,dcai24
'PME Subsystem shall allow keeping submenus within menus and products within submenus in a managed and persisted order.',LF,NICE
'When purchasing a streaming movie or pre-paid card via credit card the processing time should have a maximum response time of 15 seconds.',PE,NICE
 The Disputes application shall be available 24x7x365 with the exception of the following scheduled maintenance windows. Monday \96 Saturday 3:00am to 4:00am EST Sunday 1:00amd to 5:00am EST,O,dcai24
2) The system shall conform to function IN.1.2 (Entity Authorization) to provide authorization capabilities.,SE,dcai24
'The system shall provide charts for the Activity or Event actual versus assumed time.',FR,NICE
The system shall cater to 10 simultaneous users from 9am to 5pm.,SC,promise_exp
'The system shall display Events or Activities.',FR,NICE
The interface must summarize the data in a fashion that s appealing to CCR management. Every report type must have at least one high level summary shown in the results dashboard/interface,LF,dcai24
"In the settings menu for Facebook the user can save username in combination with password, regarding Facebook.",FR,dcai24
The product shall protect the identity of the players. The product shall provide players no access to information that might reveal the identity of another player.,PE,promise_exp
It must be able to download the most recent medical record.,FR,promise_exp
Since the software must run on several popular hardware platforms and the goal is to achieve a reasonable level of platform independence.,PO,promise_exp
"If querying the database did not provide an answer, the system will say that it does not have an answer and provide appropriate website link where the user could find the answer. Example message, Ã¢â‚¬Å“I donÃ¢â‚¬â„¢t know when Rush Building closes, but here is the website of the building.",FR,dcai24
The system shall display the orders that are eligible to change.,FR,promise_exp
