text,label,source
'All aspects of the website shall be accessed by a web browser over the Internet.',O,NICE
'The product shall be platform independent.The product shall enable access to any type of development environment and platform.',O,NICE
'The product shall interface with the Choice Parts System. This provides the feed of recycled parts data.',O,NICE
The product shall interface with the Choice Parts System. This provides the feed of recycled parts data.,O,dcai24
The streaming server will support a maximum of 700 movies; new servers can be added to support more movies.,SC,promise_exp
When a ship is sunk  the product shall simulate the sound of a sinking ship.,LF,promise_exp
"Where required to do so by law ,the EHRi and POS systems connected to the EHRi must have the ability to indicate when consent is given on behalf of a patient or person by a substitute decision maker (e.g. consent given by an authorized representative), as well as identify this substitute decision maker and the substitute decision makerï¿½s relation to the patient or person.",SE,dcai24
'Staff members shall be able to complete a set of tasks in a timely manner.',PE,NICE
*agentMom shall support the ability to decrypt unicast message.,SE,dcai24
The WCS system shall have the ability to include data for regions outside the United States and be accessed by users outside of the United States if approved by CCR management.,SC,promise_exp
'The product shall produce search results in an acceptable time',PE,NICE
Washing parameters will be updated during scheduled maintenance hours.,MN,promise_exp
The website design should be modern clean and concise.,LF,dcai24
'The lead washing process will operate within the established physical web service structure.',O,NICE
'System shall let the administrator add/remove categories on the website in under 5 minutes.',PE,NICE
'All actions that modify an existing dispute case must be recorded in the case history.',L,NICE
The number of possible values defining the packet priority and by consequence the number of queues managed in the upstream direction shall be coherent with the number of concurrent services (data communication entertainment) to be treated and supported.,PE,dcai24
The product shall interface with the ChoiceParts system once per day at approximately 1:00 AM.,O,promise_exp
The customer shall be able to easily integrate new building maps with the product throughout the product\92s lifecycle. Integration of new maps with the product shall be possible with little to no support from product support staff.,MN,dcai24
'The System shall allow for a minimum of 6 users to work at the same time.',SC,NICE
The Load File Data Block Hash is used in the computation of The Load File Data Block Signature.,SE,dcai24
'90% of untrained realtors shall be able to install the product on their device without printed instructions',US,NICE
'Users shall feel satisfied using the product. 85% of all users will be satisfied with the product.',US,NICE
The intranet pages should display appropriately in all resolutions  from 800x600 and higher. The display of all the pages will be correct in 95% of the resolutions  prior to implementation. The remaining 5% will be corrected within a week of notification of the incorrect display.,LF,promise_exp
"This is especially important where the information is contained in email, faxes or other documents which may contain a mixture of confidential and non-confidential information.",SE,dcai24
'All business rules specified in the Disputes System shall be in compliance with the Merchant Operating Regulations.',L,NICE
The product shall allow the user to view previously downloaded search results CMA reports  and appointments.,FT,promise_exp
'All business rules specified in the Disputes System shall be in compliance to the guidelines of Regulation E and Regulation Z.',L,NICE
Access rights and conditions of use will be machine readable and actionable.,SE,dcai24
The system shall be responsive. At the DePaul TeleServices Center  when a supervisor uses the system to view a callers schedule  the system response time must be no more than 2 seconds 90% of the time and no more than 5 seconds the rest of the time.,PE,promise_exp
'The streaming server will support 50 simultaneous streaming connections.',SC,NICE
Ability for the data center admin to provide pre-emptive e-mail virus protection (scanning prior to delivery at the mail server).,SE,dcai24
The system shall have a help system that offers tips and explanation for each screen and each item on the screens upon demand.,US,promise_exp
'The product shall provide Error Tracking Services.The product shall help the System Administrators and DBAs to resolve transaction errors 99% of the time.',FT,NICE
The product must be able to interface with any HTML browser. The product shall transmit data between the user and the product without problems. The product shall display HTML properly in 80% of all HTML browsers tested (minimum is to test 8 browsers).,O,dcai24
The system shall allow users to securely log onto the system.,SE,dcai24
Programmers and application developers will have access to source code to address bugs or system enhancements as deemed necessary. Network Administrator and DBA support is also required to maintain a 24x7 system uptime.,A,promise_exp
The system shall operate on Unix and Windows operating systems.,PO,promise_exp
The product shall allow the user to view previously downloaded search results CMA reports and appointments.,FT,dcai24
The product shall be available for distribution as a packaged CD.,O,promise_exp
The product shall be easy to learn by Adjusters and Collision Estimators.  The product shall be learned with two days onsite training,US,promise_exp
The system shall utilise periodic 30-second keep-alive messages between tablets and the server to monitor tablet operational status.,O,promise_exp
The product shall provide Dynamic Change Support and Transparent resource addition.The product shall support Transparent Resource addition and Dynamic Change support to provide scalability and avoid service interruptions of more than 1 day.,PE,promise_exp
During a purchase transaction the CEP card must ensure that it is dealing with an authentic POS device and it must generate a signature to allow the card issuer to verify the integrity of the transaction,SE,dcai24
The product shall be updated on a regular basis.The product will have a new major feature introduced every six months and quarterly maintenance releases every six months.,MN,promise_exp
The system shall be displayable on any work computer a CCR user may have. The system interface shall be formatted to display at 800 by 600 pixel resolution.,LF,promise_exp
The system shall able to operate within a business office environment typical of the Nursing Department at DePaul University.,O,promise_exp
"VLER DAS stores the â€˜Date Status Modifiedâ€™ (Date, Time, and Time Zone) , when available, in an audit log",SE,dcai24
'The product shall increase productivity of Collision Estimators. 80% of the Collision Estimators shall agree their productivity has increase within 1 month of using the product.',US,NICE
'The product shall poll the system for messages every second.The product shall poll the system for new messages at a maximum of every 1 second.',PE,NICE
'The product shall synchronize contacts and appointments in an acceptable time.',PE,NICE
"To the extent that the EHRi supports the replacement of paper-based prescriptions, a facility for the application, recognition and verification of digital signatures will be among the services provided by the EHRi, as Canadian law requires that prescriptions be signed.77 Although the principle use of digital signatures would probably be for e-prescribing, there are many other less common situations where the signature of a physician might be required upon a form (for example, death certificates).",SE,dcai24
95% of users will not need to read the user manual to be able to use the application.,US,promise_exp
'100% of the cardmember and merchant services representatives shall use the Disputes application regularly after a 2-day training course.',SC,NICE
'Website must interface with the CyberSource API to process credit card transactions.',O,NICE
The appearance of the product shall appear professional,LF,promise_exp
The entire website must be user-friendly and easily navigable. The website must be provided with a site map for quick access to a particular link according to the requirement specification. The user must be able to find what he/she wants from the site without any difficulty. The website must adhere to branding schemes and the layout of the web pages must be uniform throughout ,US,dcai24
The system shall be easy to use by callers and supervisors. Callers and supervisors must be able to accomplish any system task within 2 minutes.,US,promise_exp
The system shall accommodate large data items without fault.,FT,promise_exp
The meeting scheduler shall be accessed from the Web.,O,promise_exp
'When purchasing a streaming movie or pre-paid card via credit card the processing time should have a maximum response time of 15 seconds.',PE,NICE
'The website should cater to all tribes in Nigeria.',LF,NICE
The Disputes application shall interface with the Letters application. This will allow the Disputes application to request letters as part of the dispute initiation and dispute follow up process. All letter requests must be sent to the Print Letter Utility application.,O,dcai24
'The Disputes System must be accessible by both internal and external users.',A,NICE
The back-end systems (multiple back-end systems may exist for a single card) which communicate with the cards perform the verifications and manage the off-card key databases also shall be trusted.,SE,dcai24
The reliability of the overall program depends on the reliability of the separate components. The main pillar of reliability of the system is the backup of the database which is continuously maintained and updated to reflect the most recent changes.,FT,promise_exp
The DUAP System shall be able to log system operations.,SE,dcai24
1) The system shall conform to function IN.1.1 (Entity Authentication).,SE,dcai24
Website must be fully operational with MSN TV2.,O,promise_exp
The product will be available for licensing as a one-server two-five servers or five-or-more servers license.,O,dcai24
The customer shall be able to easily integrate new building maps with the product throughout the product's lifecycle. Integration of new maps with the product shall be possible with little to no support from product support staff.',MN,NICE
'The product shall provide Monitoring Services.The product shall be easy for System Administrators and DBAs to use after two weeks of usage.',US,NICE
'When a ship is sunk the product shall simulate the sound of a sinking ship.',LF,NICE
'The bottom 3/4 of the table will hold events that occur according to its relevance to current time.',LF,NICE
Internally to the CPN a CNG transmitting private or other critical information (i.e. to a CND) shall protect the data from unauthorised disclosure.,SE,dcai24
The website should appeal to all Africans not only Nigerians.,LF,dcai24
'100% of saved user preferences shall be restored when system comes back online.',FT,NICE
The product will be available for licensing as a one-server  two-five servers  or five-or-more servers license.,O,promise_exp
We must be able to interface with any HTML browser.,O,promise_exp
The product interface should be fast. The response time of the product interface should not exceed 2 seconds 90% of the time. For 10% of the time  the response time should not be more than 10 seconds.not be more than 10 seconds.,PE,promise_exp
"Data items transferred might need to be encrypted to prevent both malicious and false opera- tion, as well as eavesdropping.",SE,dcai24
'Users should be able to access their streaming movies in under 2 clicks after logging into the website.',LF,NICE
The CMA report shall be returned no later 60 seconds after the user has entered the CMA report criteria.,PE,promise_exp
'The website should have an African feel but should not alienate non-Africans. The website should use animation on pages which are describing the services to grab the users attention and encourage them to sign up.',LF,NICE
The system must secure all modes of data exchange.,SE,dcai24
The search for the preferred repair facility shall take no longer than 8 seconds.  The preferred repair facility is returned within 8 seconds,PE,promise_exp
The product shall provide Error Tracking Services.The product shall help the System Administrators and DBAs to resolve transaction errors 99% of the time.,US,promise_exp
NPAC SMS shall authenticate the identity of all NPAC and Service Provider users of the NPAC Administrative and NPAC SOA Low-tech Interfaces prior to their initially gaining access to NPAC SMS.,SE,dcai24
"The information within the system is regarded private, however in the event of an investigation by a legal authority, including by not limited to a subpoena or audit, the information will be released to the proper authorities for the purpose intended.",SE,dcai24
The system shall provide use of icons and toolbars.,US,promise_exp
The product shall use a standard navigation menu familiar to most web users.,US,promise_exp
The system shall cater to 10 simultaneous users from 9am to 5pm.,SC,promise_exp
'Each page shall contain a similar format with action items in one location and navigation buttons in a different location.',LF,NICE
The product shall be available for distribution via the Internet as a binary or ZIP file.,O,promise_exp
'A new user shall be able to navigate through the league and team pages within 30 seconds of reaching the start-up page.',LF,NICE
All aspects of the website shall be accessed by a web browser over the Internet.,O,promise_exp
On a 56k connection the system response time for all operations must be no more than 6 seconds 90% of the time.,PE,dcai24
The system shall provide protection to maintain the integrity of clinical data during concurrent access.,SE,dcai24
"VLER DAS stores the â€˜Event Descriptionâ€™, when available, in an audit log.",SE,dcai24
A customer can only stream a movie if they purchased it  and are within the 2 day viewing period.,SE,promise_exp
Detailed documentation of the code and SRS will enable easy maintenance of the Flea Market.,MN,promise_exp
The product shall comply with the estimatics laws relating to recycled parts usage.,L,promise_exp
The system should provide secure data exchange capabilities.,SE,dcai24
The search for recycled parts shall take no longer than 15 seconds. The search results shall be returned in under 15 seconds.,PE,dcai24
The product shall provide Portals.The product shall help System Administrators to analyze the transactions with ad-hoc reporting and KPIs (Key Performance Indicators),US,promise_exp
'The product must be developed with the J2SE/J2EE programming language libraries',O,NICE
The product must be highly configurable for use with various database management systems for the end users.  80% of end users are able to integrate new database management systems with the product without changing the product\92s software code.,MN,promise_exp
The product shall be able to handle up to 1500 simultaneous users. The system shall perform with 1500 users as a time.,SC,promise_exp
The website should have an African feel but should not alienate non-Africans. The website should use animation on pages which are describing the services to grab the users attention and encourage them to sign up.,LF,dcai24
The system must authenticate users prior to accessing an application or data.,SE,dcai24
100% of the cardmember and merchant services representatives shall use the Disputes application regularly after a 2-day training course.,US,promise_exp
The website shall be attractive to all audiences.  The website shall appear to be fun and the colors should be bright and vibrant.,LF,promise_exp
Out of 1000 accesses to the system the system is available 999 times.,A,promise_exp
'Administrator shall be able to activate a pre-paid card via the Administration section in under 5 seconds.',PE,NICE
The system shall confirm all transactions with the customer’s web browser.,US,dcai24
All the functions of the system must be available to the user every time the system is turned on.,A,promise_exp
The product shall allow for customization of start page and views preferences.,US,promise_exp
'The Disputes application shall interface with the Statement Database. The Statement Database provides the transaction details to the Disputes System. All transaction details must be obtained from the Statement Database',O,NICE
'The same hardware supporting the current website will be used to support the new system.',O,NICE
The system could track user information over time.,SE,dcai24
The system shall not leave any cookies on the customer’s computer containing the user’s password.,SE,dcai24
'The product shall respond fast to keep up-to-date data in the display.',PE,NICE
A database management system such as Oracle  DB2  MySql or HSQL will need to be integrated with the product.,O,promise_exp
'All letter requests must be formatted according to guidelines specified by the Print Letter Utility system.',L,NICE
Total lead cycle time must be completed in 5 minutes for 90% of lead volume between the business hours of 8AM CST to 8PM CST; then 3 minutes for 99% of lead volume during off business hours.,PE,promise_exp
The system will support mobile users in some way.,PO,promise_exp
'The system shall be intuitive and self explanatory.',US,NICE
"NPAC SMS shall generate a security audit log that contains information sufficient for after the fact investigation of loss or impropriety for appropriate response, including pursuit of legal remedies.",SE,dcai24
'The product shall simulate the look of ships at sea.',LF,NICE
The product\92s Look and Feel shall be able to incorporate aspects of the customer\92s organization such as logo branding and identity,LF,dcai24
While streaming a movie buffering should only occur if there is latency in the user\92s connection.,PE,dcai24
Responses to view information shall take no longer than 5 seconds to appear on the screen.,PE,promise_exp
The product shall be able support 1000 simultaneous users.,SC,promise_exp
'All changes updates and additions to the WCS system shall be updated in the WCS Developer and WCS User Guides. Every change must be reflected in WCS system documentation',MN,NICE
The system shall interface with the student master server.,O,promise_exp
'The website should use Flash to provide animation on the home page.',LF,NICE
b) must be capable of merging two or more EHR records if it is determined that multiple records for the same patient or person have been unintentionally created.,SE,dcai24
Users shall feel satisfied using the product.  85% of all users will be satisfied with the product.,US,promise_exp
'For estimators the product shall be able to be operated in a repair facility during dirty and noisy conditions.',O,NICE
 The Disputes application shall be available 24x7x365 with the exception of the following scheduled maintenance windows. Monday \96 Saturday 3:00am to 4:00am EST Sunday 1:00amd to 5:00am EST,O,dcai24
All business rules specified in the Disputes System shall be in compliance to the guidelines of Regulation E and Regulation Z.,L,promise_exp
The intranet pages should display appropriately in all resolutions from 800x600 and higher. The display of all the pages will be correct in 95% of the resolutions prior to implementation. The remaining 5% will be corrected within a week of notification of the incorrect display.,LF,dcai24
'The RFS system should be available 24/7 especially during the budgeting period. The RFS system shall be available 90% of the time all year and 98% during the budgeting period. 2% of the time the system will become available within 1 hour of the time that the situation is reported.',A,NICE
The product shall be internet browser independent.The product must run using Internet Explorer and Netscape Navigator.',PO,NICE
"Description: To reduce medication errors at the time of administration of a medication, the patient is positively identified; checks on the drug, the dose, the route and the time are facilitated.",SE,dcai24
'The product shall provide Portals.The product shall help System Administrators to analyze the transactions with ad-hoc reporting and KPIs (Key Performance Indicators)',US,NICE
The system shall be expected to manage the nursing program curriculum and class/clinical scheduling for a minimum of 5 years.,SC,promise_exp
"The system must be such that none of the Member States of the network, including the administrator, re-construct a consolidated European database.",SE,dcai24
The product must be able to interface with any HTML browser.  The product shall transmit data between the user and the product without problems. The product shall display HTML properly in 80% of all HTML browsers tested (minimum is to test 8 browsers).,O,promise_exp
Rationale: Perimeter security of servers and other aspects of application hosting is a minimum requirement for ensuring the availability and integrity of these important applications and data and for ensuring the confidentiality of information in storage that is not already secured cryptographically.,SE,dcai24
The response shall be fast enough to avoid interrupting the user\92s flow of thought. 90% of tasks shall complete within 5 seconds. 98% of tasks shall complete within 8 seconds.,PE,dcai24
'The system must use a point and click interface. 100% of all selection and navigation functionality must be able to be activated/selected by either a mouse or a keyboard',LF,NICE
The system must be quickly accessible by both managers and chefs.,US,promise_exp
The performance shall depend upon hardware components of the client/customer.,PE,promise_exp
'The product shall able to handle a large number of games simultaneously.',PE,NICE
'A database management system such as Oracle DB2 MySql or HSQL will need to be integrated with the product.',O,NICE
Any interface between a user and the automated system shall have a maximum response time of 5 seconds  unless noted by an exception below.,PE,promise_exp
NPAC SMS shall ensure that all the notifications are sent in the confirmed mode.,SE,dcai24
The Disputes application must maintain a detailed history of every action that a user takes on a dispute case.  This ensures a complete audit trail if questions arise later on with regard to a particular dispute case.,L,promise_exp
In case of managed services QoS rules applied by CNG shall be configurable by a remote management system,PE,dcai24
The RFS system should be available 24/7 especially during the budgeting period. The RFS system shall be available 90% of the time all year and 98% during the budgeting period. 2% of the time the system will become available within 1 hour of the time that the situation is reported.,A,dcai24
While streaming a movie buffering should only occur if there is latency in the user's connection.',PE,NICE
'Defect reports will be available to technical units on a 24x7 basis.',A,NICE
'The website will comply with W3C standards.',L,NICE
All data entry forms for the application should match their Microsoft Excel hardcopy counterparts as closely as possible. Hardcopies of these forms were provided to the design team during the second requirements interview.,O,promise_exp
The website shall be available for use 24 hours per day  365 days per year.,A,promise_exp
'The product shall adhere to the corporate Architecture guidelines',L,NICE
An anonymous survey will show that 95% of customers are comfortable using and purchasing pre-paid cards after a month of using the system.,US,promise_exp
The System shall meet all applicable accounting standards. The final version of the System must successfully pass independent audit performed by a certified auditor.,L,dcai24
The system will fully function in major browsers.,PO,promise_exp
'The product must support Internet Explorer 5.5 and above.',PO,NICE
The CNG shall classify packets coming from the CPN through its LAN interfaces (upstream direction) according to a number of predefined priorities. Classification can be done on the basis of different layer 2 and/or layer 3 parameters.,PE,dcai24
The product shall be easy to use by Adjusters and Collision Estimators.  95% of Adjusters and Collision Estimators shall find the product easy to use.,US,promise_exp
The system shall be capable of validating user name and password during log-in process.,SE,dcai24
"As the Business Owner, I want the Virtual Lifetime Electronic Record (VLER) Data Access Services (DAS) to log all requests or responses that it receives or sends in relation to the storage of an exam result status so that VLER DAS is in compliance with Department of Veterans Affairs (VA) system auditing requirements and can assist with troubleshooting.",SE,dcai24
